GPI	P06744	172400	2821	00030;00500;00520;00010;01200;01100
ERCC2	P18074	126340	2068	03022;03420
JAG2	Q9Y219	602570	3714	04330;04658;01522;05224;05200
MRPL1	Q9BYD6	611821	65008	03010
TRIM5	Q9C035	608487	85363	05170
IMPG1	Q17R60	602870	3617	x
UBR1	Q8IWV7	605981	197131	x
TYRP1	P17643	115501	7306	00350;04916;01100
ATP7B	P35670	606882	540	01524
TTN	Q8WZ42	188840	7273	05410;05414
SLC22A1	O15245	602607	6580	04976;05231
GORAB	Q5T7V8	607983	92344	04115
ANKS6	Q68DC2	615370	203286	x
FAM91A1	Q658Y4	x	157769	x
KIF7	Q2M1P5	611254	374654	04340;05217;05200
ABCA7	Q8IZY2	605414	10347	02010
PRDM9	Q9NQV7	609760	56979	00310;01100
TP73	O15350	601990	7161	04115;04722;05162;04390
SNIP1	Q8TAD8	608241	79753	x
HOXA3	O43365	142954	3200	x
MRPL42	Q9Y6G3	611847	28977	x
PTGIS	Q16647	601699	5740	00590;01100
SDHA	P31040	600857	6389	00020;01200;00190;05012;04932;05010;05016;04714;01100
POLB	P06746	174760	5423	03410;05203;05166
UBE2I	P63279	601661	7329	04064;04120;03013;05206
IPP	Q9Y573	147485	3652	x
COL17A1	Q9UMD9	113811	1308	04974
TACR1	P25103	162323	6869	04020;04080
COG4	Q9H9E3	606976	25839	x
LTN1	O94822	613083	26046	x
MGST2	Q99735	601733	4258	00480;00982;01524;00980;00983;05204;05418;05225;05200;01100
DHCR24	Q15392	606418	1718	00100;01100
CHRNB4	P30926	118509	1143	04725;04080
ITGAE	P38570	604682	3682	04810
SCAP	Q12770	601510	22937	x
SLC18A1	P54219	193002	6570	05030;05031;04721;04726;04728;05012;05034
KCNJ11	Q14654	600937	3767	04930;04929;04911
HSPA8	P11142	600816	3312	05134;04213;04612;05145;04915;05162;03040;04141;04144;04010
MRPL10	Q7Z7H8	611825	124995	03010
ERCC6	P0DP91	609413	x	x
